cegnev	erdekeltseg
Simicska Ádám Lajos	Simicska-Nyerges
Dél-Pest Megyei Mezőgazdasági Zrt.	Simicska-Nyerges
Lajta-Hanság Mezőgazdasági Termelő Kereskedelmi és Szolgáltató Zrt.	Simicska-Nyerges
Sárvári Mezőgazdasági Zrt.	Simicska-Nyerges
Szombathelyi Tangazdaság Zrt.	Simicska-Nyerges
Dél-Balatoni Agro Növénytermesztési Kft.	Simicska-Nyerges
Óvár - Agro Zrt.	Simicska-Nyerges
Hárskúti Mezőgazdasági Zrt.	Simicska-Nyerges
MEZORT-AGRO Kft.	Simicska-Nyerges
Mező Zrt.	Simicska-Nyerges
CÁT Zrt.	Simicska-Nyerges
Ceglédi Mérnök Zrt.	Simicska-Nyerges
Investmen 2001 Zrt.	Simicska-Nyerges
Aranykorona Zártkörűen Működő Mezőgazdasági Rt.	Mészáros
Búzakalász 66 Felcsút Mezőgazdasági Kft.	Mészáros
KORONA-ALBA Kereskedelmi Kft.	Mészáros
Mészáros János	Mészáros
Mészárosné Kelemen Beatrix Csilla	Mészáros
Mészáros Beatrix	Mészáros
Mészáros Lőrinc	Mészáros
Kunhalom Agrária Kft.	Mészáros
DERESZLA Kft.	Mészáros
Csabatáj Mezőgazdasági Zrt.	Mészáros
Hidasháti Mezőgazdasági Zrt.	Mészáros
Agrosystem Zrt.	Mészáros
Mészáros és Mészáros Kft.	Mészáros
Talentis Group Zrt.	Mészáros
Opimus Group Nyrt.	Mészáros
Murátó Zrt.	Mészáros
Komáromi Mezőgazdasági Termelő és Szolgáltató Zrt.	Leisztinger
Dorogi Balázs	GSD
Dorogi Éva	GSD
Dorogi Melinda	GSD
Doroginé Kovács Melinda	GSD
Dorogi Árpád Ferenc	GSD
Gsuk Maria Theresa	GSD
Gsuk Helmut Martin	GSD
Flier János	Flier
Flier János	Flier
Flier Nikolett	Flier
Flier Péter	Flier
Flier Tamás	Flier
Flier Tamás	Flier
Agárdi Farm Állattenyésztő és Növénytermelő Kft.	Flier
Baráka-major Kft.	Flier
Selymes-major Kft.	Flier
Tükrös-major Kft.	Flier
Cserepes-major Kft.	Flier
CSUTI FARM Kft.	Flier
CSUTI-Agrár Kft.	Flier
GyTT Agrár Kft.	Flier
Bólyi Mezőgazdasági Termelő és Kereskedelmi Zrt.	Csányi
Dalmandi Mezőgazdasági Zrt.	Csányi
Fiorács Kft.	Csányi
Fauna-Jagd Vadgazd.és Keresk. Kft.	Csányi
Görcsönyi Agrár Kft.	Csányi
Bólyi Agrár Kft.	Csányi
Véméndi Agrár Kft.	Csányi
Csányi Erika	Csányi
Csányi Pincészet Zrt.	Csányi
Csányi Attila	Csányi
Bonafarm-Bábolna Takarmány Kft.	Csányi
KITE ZRT.	Csányi
KITE-Tagliani Faiskola Kft.	Csányi
Indián Rizs-Agro Kft.	Csányi
Bódi Péter	Bódi
Bódi András Jenő	Bódi
Bódiné Dr. Matuz Mária Magdolna	Bódi
(Kőrösiné) Bódi Judit	Bódi
Bódi Szabolcs Tamás	Bódi
Bódi László	Bódi
